Herstellercode=052;
Geraete ID=02080;
Klassifizierungscode=9;
Rn=01;
Rf=01;
Beginn=15.02.2016 13:32:06;
Ende=16.02.2016 23:59:32;
Hardwareversion=0.0.2016;
Exportbeginn=16.02.2016 00:00:00;
Exportende=16.02.2016 23:59:59;
Exportformat=Fahrzeugeinzeldaten V1.0;

Messung Nr.=121;
Mess Beginn=15.02.2016 13:32:06;
Mess Ende=16.02.2016 23:59:32;
GPS long=8,795198;
GPS lat=51,772411;
GPS Uhrzeit=16.02.2016 20:00:00;
GPS Qualitaet=1;
GPS Satelliten=10;
GPS HDOP=0,9;
Softwareversion=1.92.26.11.2015;


Verkehrsdaten:
Datum	Uhrzeit	V	L	Zeit	FS	Code	Schall	AZ	Sta;
16.02.2016	00:00:17	87	45	65535	1	7	0	2	0;
16.02.2016	00:00:56	82	46	65535	1	7	0	2	0;
16.02.2016	00:03:03	68	164	65535	1	9	0	3	0;
16.02.2016	00:03:42	63	46	65535	2	7	0	2	0;
16.02.2016	00:05:23	69	51	65535	2	7	0	2	0;
16.02.2016	00:06:07	88	39	65535	2	7	0	2	0;
16.02.2016	00:06:18	82	48	65535	2	7	0	2	0;
16.02.2016	00:06:31	76	42	65535	2	7	0	2	0;
16.02.2016	00:06:34	78	102	65535	2	3	0	2	0;
16.02.2016	00:06:42	68	44	65535	2	7	0	2	0;
16.02.2016	00:07:12	70	51	65535	2	7	0	2	0;
16.02.2016	00:08:26	63	47	65535	2	7	0	2	0;
16.02.2016	00:09:05	77	40	65535	1	7	0	2	0;
16.02.2016	00:09:32	81	47	65535	2	7	0	2	0;
16.02.2016	00:14:17	68	45	65535	2	7	0	2	0;
16.02.2016	00:15:21	85	44	65535	2	7	0	2	0;
16.02.2016	00:20:12	86	43	65535	2	7	0	2	0;
16.02.2016	00:22:19	74	40	65535	1	7	0	2	0;
16.02.2016	00:26:13	69	44	65535	1	7	0	2	0;
16.02.2016	00:27:05	93	49	65535	2	7	0	2	0;
16.02.2016	00:28:45	79	40	65535	1	7	0	2	0;
16.02.2016	00:28:47	92	43	65535	2	7	0	2	0;
16.02.2016	00:34:01	79	46	65535	2	7	0	2	0;
16.02.2016	00:35:37	80	67	65535	2	11	0	2	0;
16.02.2016	00:36:13	75	46	65535	1	7	0	2	0;
16.02.2016	00:43:48	55	48	65535	2	7	0	2	0;
16.02.2016	00:54:51	90	37	65535	1	7	0	2	0;
